Slug,Title,Published,1 Day,7 Days,14 Days,30 Days,90 Days,Spotify,All Time
464,464: Microsoft Build 2025 Recap + A Little Google I/O,2025-05-26,"2,173","3,185","3,403","3,699","4,277",0,"4,539"
463,463: Good and Bad Vibes,2025-05-19,"1,823","2,455","2,547","2,659","2,813",0,"2,887"
462,462: Are Apps Dead?,2025-05-12,"2,078","2,911","3,052","3,271","3,479",0,"3,533"
461,461: Merge Conflict REACTS - 7 Programming Myths,2025-05-05,"2,059","2,784","2,942","3,107","3,283",0,"3,346"
460,460: I Only Vibe Code Now,2025-04-28,"1,863","2,768","2,977","3,132","3,329",0,"3,423"
bonus-michael,Data Access Evolution & AI with Michael Pizzo - Microsoft Data Expert,2025-04-24,"1,569","1,988","2,105","2,206","2,299",0,"2,358"
bonus-scott,Microsoft Engineer Scott Seiber on Early AI with Microsoft Bob's Rover and Our AI Future,2025-04-22,"1,475","1,800","1,873","1,949","2,028",0,"2,083"
459,459: Red Robin's Auto Scaling Problems,2025-04-21,"1,929","2,335","2,395","2,468","2,557",0,"2,627"
bonus-larry,"A chat with Larry Osterman on Microsoft's Transformation, AI, & Interviewing",2025-04-17,"1,302","1,981","2,052","2,126","2,205",0,"2,273"
458,458: Agent2Agent,2025-04-14,"1,651","2,086","2,223","2,486","2,571",0,"2,639"
457,"457: Nintendo Switch 2, MCP Remote Servers, & Vibe Coding Games",2025-04-07,"1,705","2,381","2,475","2,565","2,762",0,"2,827"
456,456: Hello Model Context Protocol (MCP) Servers,2025-03-31,"1,890","2,597","2,788","2,942","3,150",0,"3,248"
455,455: 3D Printing for Profit,2025-03-24,"1,599","2,181","2,293","2,409","2,475",0,"2,535"
454,454: Let's ship some .NET iOS & Android apps! CI/CD Deep Dive,2025-03-17,"1,623","2,242","2,369","2,516","2,612",0,"2,759"
453,453: All Things .NET Trimming & Native AOT,2025-03-10,"1,819","2,509","2,655","2,783","2,886",0,"2,981"
452,452: Building a 2MB iOS app in Swift & Xcode,2025-03-03,"1,761","2,379","2,555","2,678","2,791",0,"3,096"
451,451: Mac mini dongles & AI?!?!,2025-02-24,"1,749","2,342","2,432","2,526","2,624",0,"2,716"
450,"450: AI Agents, Hottest Reloading, & Apple Notes in 2025",2025-02-17,"1,767","2,490","2,633","2,765","2,858",0,"2,963"
449,449: Modernizing .NET Libraries,2025-02-10,"1,756","2,466","2,665","2,832","2,950",0,"3,062"
448,448: Did Android XR Just Destroy visionOS?,2025-02-03,"1,822","2,479","2,588","2,754","2,833",0,"2,909"
447,"447: Whoops, I Lost My Keystore",2025-01-27,"1,626","2,213","2,290","2,402","2,501",0,"2,600"
446,446: Mac mini M4 Pro - Honest Developer Reviews,2025-01-20,"1,885","2,836","3,019","3,221","3,428",0,"3,591"
445,"445: ""Live"" from CES 2025",2025-01-13,"1,638","2,349","2,522","2,665","2,869",0,"2,990"
444,444: Official Family IoT Tech Support,2025-01-06,"1,653","2,316","2,435","2,552","2,626",0,"2,708"
443,"443: If 2024 was the year of AI, what is coming in 2025?",2024-12-30,"1,643","2,287","2,430","2,573","2,670",0,"2,761"
442,442: Launching a new visionOS app,2024-12-23,"1,541","2,330","2,451","2,586","2,673",0,"2,819"
441,441: AI Driven Development,2024-12-16,"1,608","2,368","2,477","2,615","2,717",0,"2,814"
440,440: Future of GPTs? Mac Desktops? Headphones?,2024-12-09,"1,710","2,435","2,631","2,795","2,923",0,"3,035"
439,439: One Month with the M4 Mac Mini - Developer Setup Breakdown,2024-12-02,0,"2,346","2,838","3,120","3,237",0,"3,361"
438,438: Jon Galloway - From Submarine Office to Software Developer,2024-11-25,"1,584","2,203","2,381","2,501","2,599",0,"2,772"
437,437: .NET 9 Is Here!,2024-11-18,"2,217","3,302","3,610","3,917","4,145",0,"4,296"
436,436: We bought new Mac minis! Now what?,2024-11-11,"1,729","2,352","2,483","2,595","2,720",0,"2,860"
435,435: GitHub Universe Recap + M4 is here with a NEW Mac mini!!! ,2024-11-04,"2,006","2,816","2,983","3,099","3,215",0,"3,337"
434,434: Free OSS Controls for Everyone!,2024-10-28,"1,872","2,641","2,843","2,981","3,087",0,"3,190"
433,433: Epic vs Google,2024-10-21,"1,870","2,492","2,618","2,731","2,838",0,"2,948"
432,432: Creating our own color space?!?!?,2024-10-14,"1,859","2,534","2,680","2,808","2,914",0,"3,050"
431,431: Put some Python in your C# with CSnakes,2024-10-07,"1,804","2,548","2,775","2,939","3,117",0,"3,284"
430,430: iOS 18 & Apple Intelligence Preview Hands-On,2024-09-30,"1,962","2,707","2,869","3,034","3,164",0,"3,391"
429,429: Hands-on with iPhone 16 Pro... Apple Intelligence Coming Soon,2024-09-23,"1,911","2,587","2,723","2,846","2,994",0,"3,095"
428,428: Our Favorite VS Code Extensions,2024-09-16,"2,102","3,031","3,237","3,428","3,649",0,"3,790"
427,427: It's Glowtime! Rumor Edition,2024-09-09,"2,189","3,091","3,267","3,423","3,572",0,"3,679"
426,"426: Designing, Developing, Testing, & Productizing a Board Game with Ben Ruiz",2024-09-02,"2,056","2,861","3,111","3,369","3,574",0,"3,706"
425,425: The NEW .NET MAUI Binding System,2024-08-26,"2,075","2,938","3,195","3,352","3,569",0,"3,843"
424,"424: Xamarin 2025, New Apple Tax, & Mega .NET MAUI Update",2024-08-19,"2,550","3,782","4,008","4,233","4,471",0,"4,650"
423,423: Should we be building TV apps?,2024-08-12,"2,468","3,515","3,776","3,924","4,123",0,"4,241"
422,422: An Introduction to Continuous Integration & Delivery,2024-08-05,"2,682","3,875","4,247","4,458","4,764",0,"4,952"
421,421: .NET Aspire 8.1 Is Here! Let's GOOOOO!!!!,2024-07-29,"2,404","3,523","3,792","4,024","4,208",0,"4,352"
420,"420: Life, VS Code, All The TOPS, and .NET 9",2024-07-22,"1,646","2,678","3,076","3,347","3,536",0,"3,710"
419,419: An Ideal Mobile Developer Setup on macOS,2024-07-15,"1,340","2,079","2,333","2,682","2,886",0,"3,346"
418,418: Is AI Really Intelligent?,2024-07-08,"1,340","2,018","2,190","2,515","2,714",0,"2,842"
417,417: How Starlink Really Works,2024-07-01,777,"1,919","2,096","2,389","2,656",0,"2,812"
416,416: Going Light + How Spatial Video Really Works ,2024-06-24,"1,352","1,964","2,101","2,268","2,488",0,"2,646"
415,415: Apple Intelligence & WWDC 2024 Recap,2024-06-17,"1,398","2,189","2,350","2,515","2,758",0,"2,947"
414,414: x86 is BACK!,2024-06-10,"1,378","2,041","2,182","2,354","2,579",0,"2,762"
413,413: Google Takeout in Action,2024-06-03,"1,335","1,937","2,064","2,258","2,458",0,"2,625"
412,412: Copilot+ PCs & Everything .NET at Build 2024,2024-05-27,"1,391","2,180","2,494","2,697","2,956",0,"3,168"
411,"411: AI 4o, Google I/O, .NET Aspire, & #XamarinGaveMe",2024-05-20,"1,410","2,087","2,233","2,441","2,674",0,"2,914"
410,410: The New AI Powered iPad Pro,2024-05-13,"1,321","1,920","2,025","2,142","2,420",0,"2,669"
409,409: Let's Discuss AI Devices,2024-05-06,"1,348","1,935","2,046","2,186","2,447",0,"2,744"
408,408: Fine Tuning Minimal App Requirements,2024-04-29,"1,302","1,847","2,007","2,149","2,393",0,"2,635"
407,"407: What the heck are tokens, embeddings, and GPTs anyways?",2024-04-22,"1,333","1,902","2,038","2,233","2,776",0,"3,058"
406,406: Creating Beautiful .NET Console Apps,2024-04-15,"1,528","2,291","2,581","2,894","3,098",0,"3,380"
405,405: 30 Seconds to Wow,2024-04-08,"1,282","1,860","2,042","2,281","2,630",0,"3,353"
404,404: The Importance of Project Templates,2024-04-01,"1,313","1,921","2,090","2,260","2,454",0,"2,713"
403,403: That Time Apple Broke Java,2024-03-25,"1,425","2,177","2,302","2,462","2,650",0,"2,990"
402,402: AI Made Easy with Smart Components for ASP.NET Core Web Apps,2024-03-18,"1,300","1,960","2,182","2,364","2,515",0,"2,787"
401,"401: The State of EVs - Renting, Driving, Owning ",2024-03-11,"1,585","2,537","2,712","2,885","3,067",0,"3,413"
400,400: Your Burning Questions Answered,2024-03-04,"2,120","3,387","3,659","3,853","4,006",0,"4,656"
399,399: How to Build & Try to Release an Apple Vision Pro App,2024-02-26,"1,298","2,431","2,529","2,637","2,758",0,"3,013"
398,398: 2 Week Apple Vision Pro Review + .NET 9 Preview 1 Is Here,2024-02-19,"1,488","2,267","2,498","2,719","2,904",0,"3,142"
397,397: Podcasting Inside Apple Vision Pro,2024-02-12,"1,404","3,789","3,920","4,113","4,235",0,"4,517"
396,396: Designing for the Apple Vision Pro,2024-02-05,"1,504","2,329","2,480","2,602","2,738",0,"2,986"
395,395: Buying The Apple Vision Pro,2024-01-29,"1,355","2,115","2,262","2,439","2,621",0,"2,865"
394,"394: 1BRC, Getting Spatial, & Importance of Source Control",2024-01-22,"1,414","2,163","2,308","2,548","2,692",0,"2,982"
393,393: The Apple Vision Pro Developer Dilemma,2024-01-15,"1,448","2,276","2,437","2,655","2,786",0,"3,085"
392,392: The One Billion Row Challenge - .NET Edition,2024-01-08,"1,666","2,877","3,211","3,839","4,944",0,"6,577"
391,391: Our Predictions for Apple in 2024,2024-01-01,"1,561","3,095","3,486","3,784","4,088",0,"4,470"
390,390: Goodbye 2023,2023-12-25,"4,247","5,110","5,319","5,591","5,772",0,"6,087"
389,"389: Wasm, WASI, and Beyond!",2023-12-18,"1,460","2,148","2,337","2,641","2,968",0,"3,407"
388,"388: Developer to Manager, Hybrid Success, & Capacity for Innovation",2023-12-11,"1,555","2,681","2,859","3,088","3,360",0,"3,709"
387,387: System.Reflection & Native AOT,2023-12-04,"1,560","2,426","2,638","2,933","3,162",0,"3,557"
386,386: .NET Conf 2023 Recap,2023-11-27,"1,786","3,180","3,490","3,745","4,118",0,"4,413"
385,"385: .NET Conf 2023, OpenAI Dev Day, LLC Insight",2023-11-20,"1,529","2,485","2,676","2,856","3,047",0,"3,670"
384,384: iPhone Widgets On Your Mac Desktop,2023-11-13,"1,403","2,125","2,261","2,497","2,690",0,"3,009"
383,"383: Scary Fast (M3, .NET 8, .NET MAUI Edition)",2023-11-06,"1,608","2,582","2,900","3,259","3,545",0,"3,924"
382,382: Let's Talk Dark Forces Remastered,2023-10-30,"1,366","1,990","2,166","2,443","2,716",0,"3,005"
381,381: The case of the lost iPhone,2023-10-23,"1,507","2,276","2,424","2,673","2,936",0,"3,193"
380,"380: llama.cpp, .NET 8 Surprises, & Beyond",2023-10-16,"1,643","2,744","3,053","3,380","3,691",0,"4,119"
379,379: Breaking APIs for Fun,2023-10-09,"1,579","2,527","2,756","3,022","3,455",0,"3,868"
378,378: Debugging MacOS Control Center & SwiftUI CPU Usage,2023-10-02,"1,436","2,102","2,267","2,448","2,736",0,"3,029"
377,"377: .NET 8, Surface, Copilot AI, & iOS 17 are Here!",2023-09-25,"1,708","2,894","3,256","3,549","3,986",0,"4,478"
376,"376: iPhone 15, Apple Watch Series 9, and USB-C!",2023-09-18,"1,486","2,416","2,672","2,888","3,146",0,"3,433"
375,375: Buying an electric vehicle in 2023,2023-09-11,"1,388","2,181","2,397","2,682","3,038",0,"3,343"
374,374: The AI Behind Airport Security,2023-09-04,"1,411","2,384","2,563","2,910","3,265",0,"3,613"
373,373: Installing the .NET 9 Alpha,2023-08-28,"1,506","2,364","2,708","3,026","3,463",0,"4,048"
372,372: Buying a Nintendo Switch in 2023,2023-08-21,"1,475","2,146","2,338","2,561","2,872",0,"3,232"
371,371: The Problem with Walled Gardens in Apps,2023-08-14,"1,458","2,224","2,372","2,656","2,970",0,"3,350"
370,370: The Rise of LK-99,2023-08-07,"1,441","2,174","2,371","2,593","2,882",0,"3,218"
369,369: Scanning real world objects into ready-to-use 3D models with RealityKit,2023-07-31,"1,468","2,206","2,388","2,606","3,050",0,"3,484"
368,368: Building .NET MAUI User Interfaces in C#,2023-07-24,"1,518","2,515","2,849","3,193","3,638",0,"4,109"
367,367: NativeAOT for iOS & .NET MAUI Lands in VS Code,2023-07-17,"1,550","2,429","2,756","2,993","3,384",0,"3,823"
366,366: Developing for visionOS,2023-07-10,"1,419","2,123","2,282","2,511","2,926",0,"3,329"
365,365: Developing 3D Applications,2023-07-03,"1,499","2,203","2,392","2,579","2,931",0,"3,296"
364,364: What is an AI Developer?,2023-06-26,"1,504","2,576","2,758","2,966","3,283",0,"3,728"
363,363: Getting Serious About Upgrades,2023-06-19,"1,513","2,251","2,427","2,619","2,916",0,"3,346"
362,"362: Developer Productivity - C# 12, Dev Tunnels, C# Dev Kit",2023-06-12,"1,623","2,573","2,880","3,269","3,645",0,"4,169"
361,361: WWDC 2023 Recap - Apple Vision Pro & Beyond,2023-06-06,"1,781","2,642","2,797","3,071","3,337",0,"3,732"
teaser-wwdc2023,Teaser: WWDC 2023 Predictions,2023-06-04,"1,280","1,795","1,931","2,094","2,304",0,"2,680"
360,"360: Microsoft Build 2023, Security, Passkeys, & LLM AI Takeover!",2023-05-29,"1,545","2,491","2,728","2,977","3,225",0,"3,747"
359,359: Publishing Android Apps to Amazon App Store + Windows 11,2023-05-22,"1,525","2,308","2,659","3,019","3,235",0,"3,714"
358,"358: Google I/O 2023 Recap - AI 🤔, Dark Mode 🎉",2023-05-15,"1,638","2,529","2,851","3,357","3,608",0,"4,052"
357,357: The Zune UI was the Best UI,2023-05-08,"1,557","2,429","2,682","3,153","3,480",0,"3,935"
356,"356: Sunsetting software, libraries, & APIs",2023-05-01,"1,441","2,168","2,381","2,604","2,904",0,"3,507"
355,355: Previewing the Preview of C# 12,2023-04-24,"1,577","2,620","2,882","3,212","3,570",0,"4,074"
354,354: .NET Native AOT Apps Fit on a Floppy Disk!,2023-04-17,"1,569","2,448","2,701","2,928","3,328",0,"3,922"
353,353: Exploring & Analyzing Bing Chat,2023-04-10,"1,505","2,423","2,712","3,005","3,351",0,"3,880"
352,352: Analyzing The Twitter Algorithm,2023-04-03,"1,588","2,523","2,732","3,034","3,395",0,"3,898"
351,351: What are F# Discriminated Unions?,2023-03-27,"1,464","2,216","2,451","2,746","3,098",0,"3,645"
350,350: Multimodal GPT-4,2023-03-20,"1,681","2,742","3,031","3,350","3,796",0,"4,334"
349,349: Packaged with external location or unpackaged,2023-03-13,"1,418","2,242","2,407","2,636","3,073",0,"3,655"
348,348: ChatGPT Comes to the Command Line,2023-03-06,"1,613","2,389","2,658","2,940","3,388",0,"4,012"
347,347: Converting Star Wars Dark Forces 3DO Files with .NET MAUI,2023-02-27,"1,511","2,330","2,634","3,014","3,399",0,"4,013"
346,346: Calling .NET Libraries from Rust with Native AOT,2023-02-20,"1,422","2,161","2,392","2,623","3,019",0,"3,932"
345,345: Backwards Compatible .NET,2023-02-13,"1,566","2,404","2,627","2,851","3,266",0,"3,916"
344,344: Exploring CoreData and CloudKit,2023-02-06,"1,489","2,182","2,391","2,646","3,061",0,"3,916"
343,343: A Mac Mini To Rule Them All!,2023-01-30,"1,665","2,633","2,828","3,109","3,526",0,"4,153"
342,342: Democratizing AI... and GPT3,2023-01-23,"1,621","2,425","2,656","2,952","3,390",0,"4,060"
341,341: Frank Masters In-App Subscriptions,2023-01-16,"1,640","2,417","2,611","2,904","3,359",0,"4,207"
340,"340: CES, IoT, Security, & Roasting Coffee",2023-01-09,"1,766","2,800","3,017","3,211","3,597",0,"4,643"
339,339: Building a DIY Smart Thermostat with .NET,2023-01-02,"1,774","2,812","3,116","3,377","3,736",0,"4,454"
338,338: Android Publishing Complexities,2022-12-26,"1,471","2,456","2,784","3,047","3,394",0,"4,512"
337,337: Drawing Lines on Maps,2022-12-19,"1,712","2,683","3,015","3,410","3,781",0,"4,551"
336,336: ChatGPT,2022-12-12,"1,827","2,830","3,181","3,551","3,994",0,"4,762"
335,335: All in on Codespaces ,2022-12-05,"1,784","3,029","3,419","3,869","4,254",0,"5,030"
334,334: 7 Awesome New Features in .NET 7,2022-11-28,"1,887","3,339","3,948","4,537","5,073",0,"5,905"
333,333: How to REALLY ship apps,2022-11-21,"1,713","2,657","3,036","3,687","4,122",0,"5,514"
332,332: .NET Conf 2022 Recap - All Things .NET 7,2022-11-14,"1,964","3,286","3,685","4,344","4,809",0,"5,552"
331,"331: .NET 7 is here! C# 11, Performance, and more!",2022-11-07,"1,370","3,067","3,457","3,850","4,375",0,"5,209"
330,"330: Twitter, Metaverse, USB-C, App Store Ads... OH MY!",2022-10-31,"1,819","3,170","3,632","4,099","4,686",0,"5,440"
329,329: Is iPadOS Ready for Stage Manager?,2022-10-24,"1,663","2,430","2,873","3,377","4,092",0,"4,809"
328,328: Microsoft Surface Event 2022 Recap,2022-10-17,"1,847","3,033","3,319","3,673","4,281",0,"5,044"
327,327: Worst Upgrade Process Ever,2022-10-10,"1,627","2,714","3,007","3,347","3,988",0,"4,826"
326,326: Frank Contemplates In-App Subscriptions,2022-10-03,"1,500","2,245","2,495","2,778","3,328",0,"4,059"
325,325: Managing & Maintaining .NET Libraries (.NET 7 RC Is Here!),2022-09-26,"1,650","2,714","3,020","3,420","4,019",0,"4,909"
324,324: Revisiting GitHub Copilot,2022-09-19,"1,563","2,427","2,693","3,089","3,652",0,"4,578"
323,323: Let's Get Ultra Dynamic on an Island,2022-09-12,"1,732","2,856","3,130","3,459","4,072",0,"5,080"
322,322: Making Money with Subscriptions,2022-09-05,"1,452","2,289","2,585","2,894","3,532",0,"4,425"
321,321: ML In The Browser - transformers-js,2022-08-29,"1,438","2,117","2,359","2,671","3,258",0,"4,252"
320,320: All the .NETs,2022-08-22,"1,640","2,588","2,881","3,278","3,911",0,"4,918"
319,319: ML Cuneiform Translations,2022-08-15,"1,413","2,065","2,269","2,570","3,126",0,"4,118"
318,318: Fixing Performance Issues,2022-08-08,"1,594","2,593","3,005","3,325","3,948",0,"5,041"
317,317: Performance Benchmarking Code,2022-08-01,"1,519","2,288","2,546","2,812","3,393",0,"4,481"
316,316: Hosting Websites & Web Apps for Free,2022-07-25,"1,604","2,460","2,714","3,019","3,707",0,"4,883"
315,315: A Proper Podcast,2022-07-18,"1,475","2,160","2,376","2,683","3,166",0,"4,317"
314,314: Pixy Review - Snap's Mini Drone,2022-07-11,"1,035","2,080","2,359","2,596","3,077",0,"4,245"
313,313: Stop Using Junk In Your Apps,2022-07-04,"1,730","2,784","3,140","3,508","4,020",0,"5,131"
312,312: dotnet workload,2022-06-27,"1,655","2,486","2,807","3,240","3,726",0,"4,960"
311,"311: Goodbye Passwords, Hello Passkeys",2022-06-20,"1,651","2,682","2,928","3,223","3,755",0,"5,021"
310,310: WWDC 2022 Recap,2022-06-13,"1,767","2,942","3,347","3,570","4,106",0,"5,350"
309,309: Where did my OpenGL go?,2022-06-06,"1,549","2,433","2,732","3,029","3,529",0,"4,745"
308,308: James & Frank Go To Build 2022!,2022-05-30,"1,693","3,316","3,593","3,968","4,445",0,"5,691"
307,307: All in on .NET MAUI,2022-05-23,"1,751","2,949","3,402","3,796","4,537",0,"6,015"
306,306: How to Contribute to OSS,2022-05-16,"1,556","2,544","2,745","3,319","3,848",0,"5,220"
305,305: Breaking Your Own APIs,2022-05-09,"1,743","2,723","3,012","3,292","3,808",0,"5,086"
304,304: Snap's Pixy... the future of drones?,2022-05-02,"1,487","2,158","2,405","2,719","3,183",0,"4,468"
303,"var num = 303; var title = $$""""""Episode #{{num}}"""""";",2022-04-25,"1,631","2,665","2,884","3,162","3,688",0,"4,998"
302,302: .NET MAUI Release Candidate Is Here!,2022-04-18,"1,596","2,650","2,936","3,210","3,758",0,"5,012"
301,301: Going Beyond ZSH,2022-04-11,"1,610","2,699","2,954","3,288","3,842",0,"5,287"
300,300 Episodes of Merge Conflict!,2022-04-04,"1,905","3,504","4,082","4,528","5,166",0,"6,671"
299,299: Databases shouldn’t allow delete,2022-03-28,"1,586","2,913","3,550","4,125","4,654",0,"6,154"
298,298: The Great M1 Conspiracy,2022-03-21,"1,710","3,099","3,300","3,558","4,114",0,"5,452"
297,297: The Ultra Apple Event Recap,2022-03-14,"1,523","2,555","2,870","3,105","3,501",0,"4,890"
296,"296: NSUrl, Security Scope, & Bookmarks ",2022-03-07,"1,505","2,739","3,111","3,470","3,870",0,"5,171"
295,295: Two ways to do the same thing,2022-02-28,"1,590","2,791","3,454","3,833","4,254",0,"5,751"
294,"294: Hello .NET 7, C# 11, and !!",2022-02-21,"1,696","3,616","4,288","4,610","5,254",0,"6,803"
293,293: dotnet-trace with dotnet-monitor through dotnet-dsrouter,2022-02-14,"1,560","2,718","3,499","3,771","4,253",0,"5,764"
292,292: Developer Guide to In-App Subscriptions,2022-02-07,"1,736","3,307","3,740","4,048","4,705",0,"6,818"
291,291: GitHub Actions All The Things,2022-01-31,"1,979","4,834","5,172","5,544","6,228",0,"8,002"
290,290: The .NET MAUI Episode,2022-01-24,"1,820","3,683","5,446","5,810","6,447",0,"7,882"
289,289: App Publishing Road Blocks,2022-01-17,"1,769","3,382","3,741","4,033","4,511",0,"5,862"
288,288: Turning Hacks into Reality,2022-01-10,"1,624","2,565","2,809","3,149","3,628",0,"5,059"
287,287: Tech Highs and Lows of 2021,2022-01-03,"1,833","3,263","3,702","4,084","4,555",0,"6,087"
286,286: Hacking 3D Holograms with .NET,2021-12-27,"1,517","2,370","2,609","2,889","3,334",0,"4,768"
285,285: is not null,2021-12-20,"1,714","2,857","3,055","3,358","3,849",0,"5,396"
284,284: C# 10 Global & Implicit Usings,2021-12-13,"1,682","2,683","2,857","3,102","3,486",0,"5,045"
283,"283: The Metaverse - When, where, why",2021-12-06,"1,711","2,917","3,119","3,355","3,829",0,"5,349"
282,282: Automating Protocols,2021-11-29,"1,595","2,859","3,106","3,341","3,755",0,"5,261"
281,"281: C# 10, .NET MAUI, Blazor Hybrid, and more!",2021-11-22,"1,768","3,230","3,607","3,967","4,555",0,"6,132"
280,280: .NET 6 and Visual Studio 2022 are here!,2021-11-15,"1,762","3,021","3,241","3,623","4,099",0,"5,602"
279,279: What are Azure Container Apps?,2021-11-08,"1,677","3,061","3,308","3,624","4,143",0,"5,652"
278,278: Inside .NET Hot Reload,2021-11-01,"1,752","3,071","3,421","3,674","4,297",0,"5,978"
277,277: MacBook Pro & Pixel 6 Event Recaps,2021-10-25,"1,761","3,107","3,295","3,517","4,030",0,"5,578"
276,276: .NET 6 + C# 10 == Mind Blown,2021-10-18,"2,018","3,448","3,776","4,140","4,730",0,"6,359"
275,"275: Analyzing Squid Game’s Motion Detection (Red Light, Green Light)",2021-10-11,"1,639","2,550","2,778","3,043","3,491",0,"5,051"
274,274: Building IoT Things,2021-10-04,"1,783","2,936","3,261","3,563","4,058",0,"5,580"
273,273: Microsoft Surface 2021 Event Recap,2021-09-27,"1,827","3,106","3,349","3,576","3,989",0,"5,404"
272,"272: .NET 6 RC1, .NET MAUI Updates, & iPhone 13 Event Recap",2021-09-20,"2,314","4,378","4,926","5,251","5,769",0,"7,948"
271,271: How not to monetize an app,2021-09-13,"1,822","3,185","3,607","3,939","4,437",0,"6,055"
270,"270: M1 on the road, phased release, new SQLite-net, and .NET MAUI ready libraries",2021-09-06,"1,894","3,507","3,945","4,396","4,904",0,"7,438"
269,269: How not to advertise mobile apps,2021-08-30,"1,691","2,640","2,816","3,065","3,631",0,"5,224"
268,268: Authentication shouldn't be hard,2021-08-23,"1,756","3,297","4,047","4,719","5,297",0,"6,977"
267,267: Hacking Onewheel Bluetooth,2021-08-16,"1,896","3,213","3,420","3,614","4,087",0,"5,641"
266,266: How not to architect a database,2021-08-09,"2,276","5,282","6,006","6,298","7,560",0,"10,301"
265,265: Robot Engineer turned Program Manager with Maddy Leger,2021-08-02,"1,813","3,216","3,540","3,741","4,229",0,"5,738"
264,"264: FOSS, Code Tours, & .NET MAUI Web with Ooui",2021-07-26,"1,776","3,312","3,604","3,854","4,364",38,"6,023"
263,263: Building Computers,2021-07-19,"1,810","3,079","3,267","3,542","3,971",69,"5,629"
262,262: Your AI Code Copilot,2021-07-12,"1,781","2,815","3,011","3,191","3,614",85,"5,200"
261,261: Windows 11 Insider Preview,2021-07-05,"1,811","3,321","3,672","3,879","4,338",96,"5,923"
260,260: Every question answered,2021-06-28,"1,688","2,927","3,284","3,474","3,865",94,"5,456"
259,259: Photogrammetry ,2021-06-21,"1,775","3,259","3,746","3,917","4,214",64,"6,114"
258,258: WWDC 2021 Recap,2021-06-14,"2,267","3,971","4,259","4,578","5,003",110,"6,747"
257,257: M1RACLES ,2021-06-07,"1,855","3,204","3,426","3,575","3,854",80,"5,368"
256,256: Microsoft Build 2021 Recap,2021-05-31,"2,987","5,656","6,302","6,621","6,999",136,"8,476"
255,255: What is encryption anyways?,2021-05-24,"1,781","2,880","3,084","3,356","3,686",111,"4,927"
254,254: AirTag Development,2021-05-17,"1,557","3,673","3,979","4,166","4,488",94,"5,822"
253,"253: Past, Present, & Future of Ooui",2021-05-10,"2,010","4,728","5,408","5,589","5,894",90,"7,072"
252,252: Linux GUI Apps on Windows - WSLg,2021-05-03,"1,713","4,113","4,918","5,147","5,457",89,"6,782"
251,"251: #AppleEvent - AirTags, M1 iMac, & Purple iPhone",2021-04-26,"2,146","4,400","4,892","5,091","5,370",92,"6,351"
250,250: To The Moon,2021-04-19,"1,976","3,549","3,768","3,948","4,197",107,"5,244"
249,249: A Beautiful Disaster,2021-04-12,"1,845","3,596","3,884","4,070","4,295",84,"5,305"
248,248: Satisfying Business Requirements,2021-04-05,"1,825","3,752","4,674","4,934","5,183",106,"6,269"
247,247: Generating UI with GPT-3,2021-03-29,"2,461","5,430","6,405","6,791","7,067",122,"8,130"
246,246: Breaking out of the Desktop App Sandbox,2021-03-22,"2,139","5,541","5,794","6,029","6,297",99,"7,310"
245,245: Doubling Down on Cross-Platform Development,2021-03-15,"2,165","3,390","3,622","3,841","4,166",137,"5,246"
